# SESSION METADATA
# Start Time,2025-12-04 12:36:44
# Location,MIF Pod 1 (Uncalibrated)

Elapsed_Seconds,Location_Note,CO2_ppm,VOC_ppm,IAQ,Gas_Res_Ohms,Temp_Raw_C,Temp_Comp_C,Hum_Raw_pct,Hum_Comp_pct,Accuracy
0,MIF Pod 1 (Uncalibrated),500,0.49,25,88564,21.33,20.95,41.0,39.59,0
1,MIF Pod 1 (Uncalibrated),500,0.49,25,90960,21.45,20.95,41.0,39.59,0
2,MIF Pod 1 (Uncalibrated),500,0.49,25,91754,21.47,21.4,40.0,38.09,0
3,MIF Pod 1 (Uncalibrated),500,0.49,25,92972,21.49,21.4,40.0,38.09,0
4,MIF Pod 1 (Uncalibrated),500,0.49,25,94754,21.44,21.4,40.0,38.09,0
5,MIF Pod 1 (Uncalibrated),500,0.49,25,93593,21.44,21.37,40.0,38.58,0
6,MIF Pod 1 (Uncalibrated),500,0.49,25,94754,21.43,21.37,40.0,38.58,0
7,MIF Pod 1 (Uncalibrated),500,0.49,25,94647,21.42,21.37,40.0,38.58,0
8,MIF Pod 1 (Uncalibrated),500,0.49,25,93977,21.42,21.35,39.0,38.95,0
9,MIF Pod 1 (Uncalibrated),500,0.49,25,95743,21.41,21.35,39.0,38.95,0
10,MIF Pod 1 (Uncalibrated),500,0.49,25,94985,21.4,21.33,39.0,38.26,0
11,MIF Pod 1 (Uncalibrated),500,0.49,25,95363,21.4,21.33,39.0,38.26,0
12,MIF Pod 1 (Uncalibrated),500,0.49,25,96957,21.44,21.33,39.0,38.26,0
13,MIF Pod 1 (Uncalibrated),500,0.49,25,97294,21.45,21.38,39.0,38.36,0
14,MIF Pod 1 (Uncalibrated),500,0.49,25,97803,21.45,21.38,39.0,38.36,0
15,MIF Pod 1 (Uncalibrated),500,0.49,25,97803,21.46,21.38,39.0,38.36,0
16,MIF Pod 1 (Uncalibrated),500,0.49,25,98146,21.48,21.41,39.0,38.47,0
17,MIF Pod 1 (Uncalibrated),500,0.49,25,98664,21.48,21.41,39.0,38.47,0
18,MIF Pod 1 (Uncalibrated),500,0.49,25,99130,21.47,21.41,38.0,38.47,0
19,MIF Pod 1 (Uncalibrated),500,0.49,25,99071,21.45,21.38,38.0,37.68,0
20,MIF Pod 1 (Uncalibrated),500,0.49,25,99423,21.41,21.38,38.0,37.68,0
21,MIF Pod 1 (Uncalibrated),500,0.49,25,99423,21.37,21.38,38.0,37.68,0
22,MIF Pod 1 (Uncalibrated),500,0.49,25,100975,21.37,21.3,38.0,37.92,0
23,MIF Pod 1 (Uncalibrated),500,0.49,25,100854,21.38,21.3,38.0,37.92,0
24,MIF Pod 1 (Uncalibrated),500,0.49,25,101158,21.38,21.3,38.0,37.92,0
25,MIF Pod 1 (Uncalibrated),500,0.49,25,100854,21.38,21.31,38.0,37.95,0
26,MIF Pod 1 (Uncalibrated),500,0.49,25,101647,21.41,21.31,38.0,37.95,0
27,MIF Pod 1 (Uncalibrated),500,0.49,25,100433,21.43,21.31,38.0,37.95,0
28,MIF Pod 1 (Uncalibrated),500,0.49,25,100433,21.44,21.36,38.0,37.9,0
29,MIF Pod 1 (Uncalibrated),500,0.49,25,101219,21.46,21.36,38.0,37.9,0
30,MIF Pod 1 (Uncalibrated),500,0.49,25,100613,21.47,21.4,38.0,37.88,0
31,MIF Pod 1 (Uncalibrated),500,0.49,25,101402,21.49,21.4,38.0,37.88,0
32,MIF Pod 1 (Uncalibrated),500,0.49,25,100854,21.51,21.4,38.0,37.88,0
33,MIF Pod 1 (Uncalibrated),500,0.49,25,99896,21.53,21.46,38.0,37.83,0
34,MIF Pod 1 (Uncalibrated),500,0.49,25,99305,21.55,21.46,38.0,37.83,0
35,MIF Pod 1 (Uncalibrated),500,0.49,25,98032,21.58,21.46,38.0,37.83,0
36,MIF Pod 1 (Uncalibrated),500,0.49,25,98607,21.58,21.51,38.0,37.81,0
37,MIF Pod 1 (Uncalibrated),500,0.49,25,98780,21.59,21.51,38.0,37.81,0
38,MIF Pod 1 (Uncalibrated),500,0.49,25,99130,21.61,21.51,38.0,37.81,0
39,MIF Pod 1 (Uncalibrated),500,0.49,25,98897,21.61,21.54,38.0,37.82,0
40,MIF Pod 1 (Uncalibrated),500,0.49,25,99423,21.62,21.54,38.0,37.82,0
41,MIF Pod 1 (Uncalibrated),500,0.49,25,98607,21.64,21.54,39.0,37.82,0
42,MIF Pod 1 (Uncalibrated),500,0.49,25,98838,21.65,21.57,39.0,38.83,0
43,MIF Pod 1 (Uncalibrated),500,0.49,25,98780,21.66,21.57,39.0,38.83,0
44,MIF Pod 1 (Uncalibrated),500,0.49,25,99013,21.67,21.57,39.0,38.83,0
45,MIF Pod 1 (Uncalibrated),500,0.49,25,98376,21.67,21.6,39.0,38.85,0
46,MIF Pod 1 (Uncalibrated),500,0.49,25,99659,21.68,21.6,39.0,38.85,0
47,MIF Pod 1 (Uncalibrated),500,0.49,25,98491,21.68,21.6,39.0,38.85,0
48,MIF Pod 1 (Uncalibrated),500,0.49,25,98146,21.68,21.61,39.0,38.89,0
49,MIF Pod 1 (Uncalibrated),500,0.49,25,98261,21.69,21.61,39.0,38.89,0
50,MIF Pod 1 (Uncalibrated),500,0.49,25,98089,21.7,21.63,39.0,38.91,0
51,MIF Pod 1 (Uncalibrated),500,0.49,25,97917,21.71,21.63,39.0,38.91,0
52,MIF Pod 1 (Uncalibrated),500,0.49,25,97917,21.71,21.63,39.0,38.91,0
53,MIF Pod 1 (Uncalibrated),500,0.49,25,97860,21.72,21.65,39.0,38.92,0
54,MIF Pod 1 (Uncalibrated),500,0.49,25,97238,21.73,21.65,39.0,38.92,0
55,MIF Pod 1 (Uncalibrated),500,0.49,25,96790,21.75,21.65,39.0,38.92,0
56,MIF Pod 1 (Uncalibrated),500,0.49,25,96623,21.75,21.68,39.0,38.92,0
57,MIF Pod 1 (Uncalibrated),500,0.49,25,96902,21.77,21.68,39.0,38.92,0
58,MIF Pod 1 (Uncalibrated),500,0.49,25,96236,21.8,21.68,39.0,38.92,0
59,MIF Pod 1 (Uncalibrated),500,0.49,25,96236,21.81,21.74,39.0,38.85,0
60,MIF Pod 1 (Uncalibrated),500,0.49,25,95147,21.85,21.74,39.0,38.85,0
61,MIF Pod 1 (Uncalibrated),500,0.49,25,93489,21.87,21.74,39.0,38.85,0
62,MIF Pod 1 (Uncalibrated),500,0.49,25,95183,21.88,21.8,39.0,38.81,0
63,MIF Pod 1 (Uncalibrated),500,0.49,25,93178,21.9,21.8,39.0,38.81,0
64,MIF Pod 1 (Uncalibrated),500,0.49,25,92258,21.92,21.85,39.0,38.79,0
65,MIF Pod 1 (Uncalibrated),500,0.49,25,93489,21.94,21.85,40.0,38.79,0
66,MIF Pod 1 (Uncalibrated),500,0.49,25,93907,21.94,21.85,40.0,38.79,0
67,MIF Pod 1 (Uncalibrated),500,0.49,25,92767,21.96,21.89,40.0,39.78,0
68,MIF Pod 1 (Uncalibrated),500,0.49,25,92665,21.97,21.89,40.0,39.78,0
69,MIF Pod 1 (Uncalibrated),500,0.49,25,91654,21.99,21.89,40.0,39.78,0
70,MIF Pod 1 (Uncalibrated),500,0.49,25,91355,22.0,21.93,40.0,39.79,0
71,MIF Pod 1 (Uncalibrated),500,0.49,25,90373,22.0,21.93,40.0,39.79,0
72,MIF Pod 1 (Uncalibrated),500,0.49,25,90276,22.01,21.93,40.0,39.79,0
73,MIF Pod 1 (Uncalibrated),500,0.49,25,90373,22.02,21.95,40.0,39.83,0
74,MIF Pod 1 (Uncalibrated),500,0.49,25,89033,22.02,21.95,40.0,39.83,0
75,MIF Pod 1 (Uncalibrated),500,0.49,25,89698,22.04,21.95,40.0,39.83,0
76,MIF Pod 1 (Uncalibrated),500,0.49,25,89033,22.04,21.97,40.0,39.86,0
77,MIF Pod 1 (Uncalibrated),500,0.49,25,88470,22.07,21.97,40.0,39.86,0
78,MIF Pod 1 (Uncalibrated),500,0.49,25,88192,22.08,21.97,40.0,39.86,0
79,MIF Pod 1 (Uncalibrated),500,0.49,25,87823,22.11,22.01,40.0,39.85,0
80,MIF Pod 1 (Uncalibrated),500,0.49,25,87549,22.12,22.01,40.0,39.85,0
81,MIF Pod 1 (Uncalibrated),500,0.49,25,87915,22.13,22.01,40.0,39.85,0
82,MIF Pod 1 (Uncalibrated),500,0.49,25,88377,22.14,22.06,40.0,39.82,0
83,MIF Pod 1 (Uncalibrated),500,0.49,25,83380,22.15,22.06,40.0,39.82,0
84,MIF Pod 1 (Uncalibrated),500,0.49,25,80351,22.16,22.06,40.0,39.82,0
85,MIF Pod 1 (Uncalibrated),500,0.49,25,77821,22.17,22.09,40.0,39.83,0
86,MIF Pod 1 (Uncalibrated),500,0.49,25,77107,22.19,22.09,41.0,39.83,0
87,MIF Pod 1 (Uncalibrated),500,0.49,25,75582,22.2,22.13,41.0,40.82,0
88,MIF Pod 1 (Uncalibrated),500,0.49,25,75923,22.21,22.13,41.0,40.82,0
89,MIF Pod 1 (Uncalibrated),500,0.49,25,76337,22.21,22.13,41.0,40.82,0
90,MIF Pod 1 (Uncalibrated),500,0.49,25,75514,22.23,22.16,41.0,40.83,0
91,MIF Pod 1 (Uncalibrated),500,0.49,25,76060,22.24,22.16,41.0,40.83,0
92,MIF Pod 1 (Uncalibrated),500,0.49,25,76129,22.26,22.16,41.0,40.83,0
93,MIF Pod 1 (Uncalibrated),500,0.49,25,77249,22.27,22.2,41.0,40.82,0
94,MIF Pod 1 (Uncalibrated),500,0.49,25,77677,22.28,22.2,41.0,40.82,0
95,MIF Pod 1 (Uncalibrated),500,0.49,25,77821,22.31,22.2,41.0,40.82,0
96,MIF Pod 1 (Uncalibrated),500,0.49,25,77534,22.31,22.24,41.0,40.82,0
97,MIF Pod 1 (Uncalibrated),500,0.49,25,77749,22.35,22.24,41.0,40.82,0
98,MIF Pod 1 (Uncalibrated),500,0.49,25,78548,22.35,22.24,41.0,40.82,0
99,MIF Pod 1 (Uncalibrated),500,0.49,25,79215,22.35,22.29,41.0,40.81,0
100,MIF Pod 1 (Uncalibrated),500,0.49,25,79364,22.37,22.29,41.0,40.81,0
101,MIF Pod 1 (Uncalibrated),500,0.49,25,80121,22.38,22.29,41.0,40.81,0
102,MIF Pod 1 (Uncalibrated),500,0.49,25,79665,22.39,22.31,41.0,40.83,0
103,MIF Pod 1 (Uncalibrated),500,0.49,25,79817,22.41,22.31,41.0,40.83,0
104,MIF Pod 1 (Uncalibrated),500,0.49,25,80121,22.41,22.31,41.0,40.83,0
105,MIF Pod 1 (Uncalibrated),500,0.49,25,82318,22.42,22.34,41.0,40.84,0
106,MIF Pod 1 (Uncalibrated),500,0.49,25,81917,22.43,22.34,41.0,40.84,0
107,MIF Pod 1 (Uncalibrated),500,0.49,25,82318,22.44,22.37,41.0,40.85,0
108,MIF Pod 1 (Uncalibrated),500,0.49,25,82642,22.44,22.37,41.0,40.85,0
109,MIF Pod 1 (Uncalibrated),500,0.49,25,82886,22.46,22.37,41.0,40.85,0
110,MIF Pod 1 (Uncalibrated),500,0.49,25,83380,22.46,22.39,41.0,40.88,0
111,MIF Pod 1 (Uncalibrated),500,0.49,25,83297,22.47,22.39,40.0,40.88,0
112,MIF Pod 1 (Uncalibrated),500,0.49,25,84300,22.49,22.39,40.0,40.88,0
113,MIF Pod 1 (Uncalibrated),500,0.49,25,84554,22.49,22.42,40.0,39.88,0
114,MIF Pod 1 (Uncalibrated),500,0.49,25,83629,22.49,22.42,40.0,39.88,0
115,MIF Pod 1 (Uncalibrated),500,0.49,25,84554,22.51,22.42,40.0,39.88,0
116,MIF Pod 1 (Uncalibrated),500,0.49,25,84639,22.51,22.45,40.0,39.9,0
117,MIF Pod 1 (Uncalibrated),500,0.49,25,84384,22.52,22.45,40.0,39.9,0
118,MIF Pod 1 (Uncalibrated),500,0.49,25,84554,22.54,22.45,40.0,39.9,0
119,MIF Pod 1 (Uncalibrated),500,0.49,25,84300,22.54,22.47,40.0,39.9,0
120,MIF Pod 1 (Uncalibrated),500,0.49,25,85587,22.56,22.47,40.0,39.9,0
121,MIF Pod 1 (Uncalibrated),500,0.49,25,84725,22.57,22.47,40.0,39.9,0
122,MIF Pod 1 (Uncalibrated),500,0.49,25,85240,22.58,22.5,40.0,39.9,0
123,MIF Pod 1 (Uncalibrated),500,0.49,25,85068,22.59,22.5,40.0,39.9,0
124,MIF Pod 1 (Uncalibrated),500,0.49,25,85068,22.59,22.5,40.0,39.9,0
125,MIF Pod 1 (Uncalibrated),500,0.49,25,84215,22.6,22.52,40.0,39.91,0
126,MIF Pod 1 (Uncalibrated),500,0.49,25,79215,22.62,22.52,40.0,39.91,0
127,MIF Pod 1 (Uncalibrated),500,0.49,25,75582,22.63,22.56,40.0,39.89,0
128,MIF Pod 1 (Uncalibrated),500,0.49,25,74975,22.63,22.56,40.0,39.89,0
129,MIF Pod 1 (Uncalibrated),500,0.49,25,75176,22.67,22.56,41.0,39.89,0
130,MIF Pod 1 (Uncalibrated),500,0.49,25,74246,22.68,22.61,41.0,40.85,0
131,MIF Pod 1 (Uncalibrated),500,0.49,25,73467,22.68,22.61,41.0,40.85,0
132,MIF Pod 1 (Uncalibrated),500,0.49,25,74775,22.71,22.61,41.0,40.85,0
133,MIF Pod 1 (Uncalibrated),500,0.49,25,74841,22.72,22.65,41.0,40.83,0
134,MIF Pod 1 (Uncalibrated),500,0.49,25,75042,22.72,22.65,41.0,40.83,0
135,MIF Pod 1 (Uncalibrated),500,0.49,25,75786,22.73,22.65,41.0,40.83,0
136,MIF Pod 1 (Uncalibrated),500,0.49,25,75992,22.74,22.66,41.0,40.88,0
137,MIF Pod 1 (Uncalibrated),500,0.49,25,75378,22.75,22.66,41.0,40.88,0
138,MIF Pod 1 (Uncalibrated),500,0.49,25,75718,22.76,22.66,41.0,40.88,0
139,MIF Pod 1 (Uncalibrated),500,0.49,25,73985,22.77,22.7,41.0,40.88,0
140,MIF Pod 1 (Uncalibrated),500,0.49,25,74181,22.78,22.7,41.0,40.88,0
141,MIF Pod 1 (Uncalibrated),500,0.49,25,73467,22.79,22.7,41.0,40.88,0
142,MIF Pod 1 (Uncalibrated),500,0.49,25,73596,22.8,22.72,41.0,40.88,0
143,MIF Pod 1 (Uncalibrated),500,0.49,25,74908,22.8,22.72,41.0,40.88,0
144,MIF Pod 1 (Uncalibrated),500,0.49,25,75855,22.81,22.72,41.0,40.88,0
145,MIF Pod 1 (Uncalibrated),500,0.49,25,76060,22.81,22.74,41.0,40.9,0
146,MIF Pod 1 (Uncalibrated),500,0.49,25,77178,22.81,22.74,41.0,40.9,0
147,MIF Pod 1 (Uncalibrated),500,0.49,25,77463,22.81,22.74,41.0,40.96,0
148,MIF Pod 1 (Uncalibrated),500,0.49,25,78256,22.82,22.74,41.0,40.96,0
149,MIF Pod 1 (Uncalibrated),500,0.49,25,77606,22.83,22.74,41.0,40.96,0
150,MIF Pod 1 (Uncalibrated),500,0.49,25,78475,22.83,22.76,41.0,40.96,0
151,MIF Pod 1 (Uncalibrated),500,0.49,25,79289,22.83,22.76,41.0,40.96,0
152,MIF Pod 1 (Uncalibrated),500,0.49,25,79364,22.85,22.76,41.0,40.96,0
153,MIF Pod 1 (Uncalibrated),500,0.49,25,78991,22.85,22.79,41.0,40.96,0
154,MIF Pod 1 (Uncalibrated),500,0.49,25,79289,22.85,22.79,41.0,40.96,0
155,MIF Pod 1 (Uncalibrated),500,0.49,25,79140,22.87,22.79,41.0,40.96,0
156,MIF Pod 1 (Uncalibrated),500,0.49,25,79439,22.87,22.8,41.0,40.97,0
157,MIF Pod 1 (Uncalibrated),500,0.49,25,79665,22.88,22.8,41.0,40.97,0
158,MIF Pod 1 (Uncalibrated),500,0.49,25,79741,22.89,22.8,41.0,40.97,0
159,MIF Pod 1 (Uncalibrated),500,0.49,25,79817,22.91,22.82,41.0,40.97,0
160,MIF Pod 1 (Uncalibrated),500,0.49,25,80121,22.91,22.82,41.0,40.97,0
161,MIF Pod 1 (Uncalibrated),500,0.49,25,80121,22.91,22.82,41.0,40.97,0
162,MIF Pod 1 (Uncalibrated),500,0.49,25,80274,22.91,22.84,41.0,40.97,0
163,MIF Pod 1 (Uncalibrated),500,0.49,25,79892,22.92,22.84,41.0,40.97,0
164,MIF Pod 1 (Uncalibrated),500,0.49,25,80737,22.93,22.84,41.0,40.97,0
165,MIF Pod 1 (Uncalibrated),500,0.49,25,80659,22.93,22.86,41.0,40.97,0
166,MIF Pod 1 (Uncalibrated),500,0.49,25,79665,22.94,22.86,41.0,40.97,0
167,MIF Pod 1 (Uncalibrated),500,0.49,25,80351,22.96,22.89,41.0,40.95,0
168,MIF Pod 1 (Uncalibrated),500,0.49,25,80428,22.97,22.89,41.0,40.95,0
169,MIF Pod 1 (Uncalibrated),500,0.49,25,79892,22.99,22.89,41.0,40.95,0
170,MIF Pod 1 (Uncalibrated),500,0.49,25,80197,23.0,22.93,41.0,40.92,0
171,MIF Pod 1 (Uncalibrated),500,0.49,25,80970,23.0,22.93,41.0,40.92,0
172,MIF Pod 1 (Uncalibrated),500,0.49,25,80582,23.02,22.93,41.0,40.92,0
173,MIF Pod 1 (Uncalibrated),500,0.49,25,80970,23.02,22.95,41.0,40.93,0
174,MIF Pod 1 (Uncalibrated),500,0.49,25,80351,23.02,22.95,41.0,40.93,0
175,MIF Pod 1 (Uncalibrated),500,0.49,25,81126,23.05,22.95,40.0,40.93,0
176,MIF Pod 1 (Uncalibrated),500,0.49,25,81126,23.05,22.98,40.0,39.92,0
177,MIF Pod 1 (Uncalibrated),500,0.49,25,80582,23.06,22.98,40.0,39.92,0
178,MIF Pod 1 (Uncalibrated),500,0.49,25,81126,23.06,22.98,40.0,39.92,0
179,MIF Pod 1 (Uncalibrated),500,0.49,25,80351,23.06,22.99,40.0,39.95,0
180,MIF Pod 1 (Uncalibrated),500,0.49,25,80970,23.06,22.99,40.0,39.95,0
181,MIF Pod 1 (Uncalibrated),500,0.49,25,80737,23.05,22.98,40.0,40.02,0
182,MIF Pod 1 (Uncalibrated),500,0.49,25,80351,23.06,22.98,40.0,40.02,0
183,MIF Pod 1 (Uncalibrated),500,0.49,25,80659,23.05,22.98,40.0,40.02,0
184,MIF Pod 1 (Uncalibrated),500,0.49,25,80428,23.06,22.98,40.0,40.02,0
185,MIF Pod 1 (Uncalibrated),500,0.49,25,81048,23.06,22.99,40.0,40.03,0
186,MIF Pod 1 (Uncalibrated),500,0.49,25,81678,23.07,22.99,40.0,40.03,0
187,MIF Pod 1 (Uncalibrated),500,0.49,25,81126,23.07,23.0,40.0,40.03,0
188,MIF Pod 1 (Uncalibrated),500,0.49,25,77966,23.06,23.0,40.0,40.03,0
189,MIF Pod 1 (Uncalibrated),500,0.49,25,73985,23.08,23.0,40.0,40.03,0
190,MIF Pod 1 (Uncalibrated),500,0.49,25,72143,23.09,23.02,41.0,41.02,0
191,MIF Pod 1 (Uncalibrated),500,0.49,25,70866,23.1,23.02,41.0,41.02,0
192,MIF Pod 1 (Uncalibrated),500,0.49,25,70985,23.12,23.02,41.0,41.02,0
193,MIF Pod 1 (Uncalibrated),500,0.49,25,69981,23.12,23.05,41.0,40.99,0
194,MIF Pod 1 (Uncalibrated),500,0.49,25,70391,23.13,23.05,41.0,40.99,0
195,MIF Pod 1 (Uncalibrated),500,0.49,25,70687,23.12,23.05,42.0,40.99,0
196,MIF Pod 1 (Uncalibrated),500,0.49,25,71712,23.11,23.05,42.0,42.03,0
197,MIF Pod 1 (Uncalibrated),500,0.49,25,72454,23.12,23.05,42.0,42.03,0
198,MIF Pod 1 (Uncalibrated),500,0.49,25,73403,23.12,23.05,42.0,42.03,0
199,MIF Pod 1 (Uncalibrated),500,0.49,25,73403,23.12,23.05,41.0,42.06,0
200,MIF Pod 1 (Uncalibrated),500,0.49,25,74246,23.13,23.05,41.0,42.06,0
201,MIF Pod 1 (Uncalibrated),500,0.49,25,74246,23.14,23.05,41.0,42.06,0
202,MIF Pod 1 (Uncalibrated),500,0.49,25,75243,23.14,23.07,41.0,41.04,0
203,MIF Pod 1 (Uncalibrated),500,0.49,25,75718,23.15,23.07,41.0,41.04,0
204,MIF Pod 1 (Uncalibrated),500,0.49,25,75378,23.15,23.08,41.0,41.05,0
205,MIF Pod 1 (Uncalibrated),500,0.49,25,68220,23.16,23.08,41.0,41.05,0
206,MIF Pod 1 (Uncalibrated),500,0.49,25,47484,23.19,23.08,41.0,41.05,0
207,MIF Pod 1 (Uncalibrated),500,0.49,25,36145,23.28,23.21,42.0,41.81,0
208,MIF Pod 1 (Uncalibrated),500,0.49,25,37632,23.65,23.21,45.0,41.81,0
209,MIF Pod 1 (Uncalibrated),500,0.49,25,41615,23.52,23.21,48.0,41.81,0
210,MIF Pod 1 (Uncalibrated),500,0.49,25,43689,23.5,23.43,49.0,48.36,0
211,MIF Pod 1 (Uncalibrated),500,0.49,25,44616,23.48,23.43,49.0,48.36,0
212,MIF Pod 1 (Uncalibrated),500,0.49,25,45881,23.47,23.43,50.0,48.36,0
213,MIF Pod 1 (Uncalibrated),500,0.49,25,48864,23.46,23.39,50.0,49.62,0
214,MIF Pod 1 (Uncalibrated),500,0.49,25,50177,23.46,23.39,51.0,49.62,0
215,MIF Pod 1 (Uncalibrated),500,0.49,25,52106,23.46,23.39,51.0,49.62,0
216,MIF Pod 1 (Uncalibrated),500,0.49,25,54154,23.46,23.39,51.0,50.74,0
217,MIF Pod 1 (Uncalibrated),500,0.49,25,55550,23.45,23.39,50.0,50.74,0
218,MIF Pod 1 (Uncalibrated),500,0.49,25,56597,23.45,23.39,50.0,50.74,0
219,MIF Pod 1 (Uncalibrated),500,0.49,25,57136,23.45,23.38,49.0,49.86,0
220,MIF Pod 1 (Uncalibrated),500,0.49,25,57963,23.46,23.38,48.0,49.86,0
221,MIF Pod 1 (Uncalibrated),500,0.49,25,58569,23.46,23.38,48.0,49.86,0
222,MIF Pod 1 (Uncalibrated),500,0.49,25,60727,23.46,23.39,47.0,47.91,0
223,MIF Pod 1 (Uncalibrated),500,0.49,25,62211,23.46,23.39,47.0,47.91,0
224,MIF Pod 1 (Uncalibrated),500,0.49,25,63336,23.46,23.39,46.0,45.97,0
225,MIF Pod 1 (Uncalibrated),500,0.49,25,64552,23.47,23.39,46.0,45.97,0
226,MIF Pod 1 (Uncalibrated),500,0.49,25,65764,23.47,23.39,46.0,45.97,0
227,MIF Pod 1 (Uncalibrated),500,0.49,25,66757,23.47,23.4,45.0,44.99,0
228,MIF Pod 1 (Uncalibrated),500,0.49,25,66863,23.48,23.4,45.0,44.99,0
229,MIF Pod 1 (Uncalibrated),500,0.49,25,67670,23.49,23.4,44.0,44.99,0
230,MIF Pod 1 (Uncalibrated),500,0.49,25,68275,23.5,23.43,44.0,43.97,0
231,MIF Pod 1 (Uncalibrated),500,0.49,25,69117,23.51,23.43,44.0,43.97,0
232,MIF Pod 1 (Uncalibrated),500,0.49,25,68498,23.53,23.43,44.0,43.97,0
233,MIF Pod 1 (Uncalibrated),500,0.49,25,69633,23.53,23.46,44.0,43.95,0
234,MIF Pod 1 (Uncalibrated),500,0.49,25,69806,23.54,23.46,44.0,43.95,0
235,MIF Pod 1 (Uncalibrated),500,0.49,25,70746,23.54,23.46,44.0,43.95,0
236,MIF Pod 1 (Uncalibrated),500,0.49,25,70926,23.55,23.47,44.0,43.98,0
237,MIF Pod 1 (Uncalibrated),500,0.49,25,71774,23.55,23.47,43.0,43.98,0
238,MIF Pod 1 (Uncalibrated),500,0.49,25,72081,23.55,23.48,43.0,43.0,0
239,MIF Pod 1 (Uncalibrated),500,0.49,25,73084,23.56,23.48,43.0,43.0,0
240,MIF Pod 1 (Uncalibrated),500,0.49,25,72768,23.56,23.48,43.0,43.0,0
241,MIF Pod 1 (Uncalibrated),500,0.49,25,73084,23.57,23.48,43.0,43.0,0
242,MIF Pod 1 (Uncalibrated),500,0.49,25,72957,23.56,23.5,42.0,42.99,0
243,MIF Pod 1 (Uncalibrated),500,0.49,25,73021,23.55,23.5,42.0,42.99,0
244,MIF Pod 1 (Uncalibrated),500,0.49,25,73084,23.55,23.48,42.0,42.07,0
245,MIF Pod 1 (Uncalibrated),500,0.49,25,72705,23.54,23.48,42.0,42.07,0
246,MIF Pod 1 (Uncalibrated),500,0.49,25,73212,23.53,23.48,42.0,42.07,0
247,MIF Pod 1 (Uncalibrated),500,0.49,25,73275,23.54,23.47,42.0,42.11,0
248,MIF Pod 1 (Uncalibrated),500,0.49,25,72768,23.53,23.47,42.0,42.11,0
249,MIF Pod 1 (Uncalibrated),500,0.49,25,72705,23.53,23.47,42.0,42.11,0
250,MIF Pod 1 (Uncalibrated),500,0.49,25,73148,23.54,23.47,42.0,42.12,0
251,MIF Pod 1 (Uncalibrated),500,0.49,25,72768,23.54,23.47,42.0,42.12,0
252,MIF Pod 1 (Uncalibrated),500,0.49,25,72392,23.54,23.47,42.0,42.12,0
253,MIF Pod 1 (Uncalibrated),500,0.49,25,72454,23.55,23.47,41.0,42.13,0
254,MIF Pod 1 (Uncalibrated),500,0.49,25,72329,23.56,23.47,41.0,42.13,0
255,MIF Pod 1 (Uncalibrated),500,0.49,25,72143,23.56,23.47,41.0,42.13,0
256,MIF Pod 1 (Uncalibrated),500,0.49,25,72454,23.55,23.49,41.0,41.09,0
257,MIF Pod 1 (Uncalibrated),500,0.49,25,72329,23.56,23.49,41.0,41.09,0
258,MIF Pod 1 (Uncalibrated),500,0.49,25,72081,23.56,23.49,41.0,41.11,0
259,MIF Pod 1 (Uncalibrated),500,0.49,25,73021,23.56,23.49,41.0,41.11,0
260,MIF Pod 1 (Uncalibrated),500,0.49,25,71774,23.57,23.49,41.0,41.11,0
