# SESSION METADATA
# Start Time,2025-12-04 15:14:48
# Location,MIF Pod 1 (Calibrated)

Elapsed_Seconds,Location_Note,CO2_ppm,VOC_ppm,IAQ,Gas_Res_Ohms,Temp_Raw_C,Temp_Comp_C,Hum_Raw_pct,Hum_Comp_pct,Accuracy
0,MIF Pod 1 (Calibrated),723,1.02,69,95907,22.03,21.97,36.0,35.75,3
1,MIF Pod 1 (Calibrated),723,1.02,69,96126,22.02,21.97,36.0,35.75,3
2,MIF Pod 1 (Calibrated),731,1.03,70,94932,22.02,21.95,36.0,35.87,3
3,MIF Pod 1 (Calibrated),731,1.03,70,95093,22.0,21.95,36.0,35.87,3
4,MIF Pod 1 (Calibrated),731,1.03,70,94932,22.0,21.95,36.0,35.87,3
5,MIF Pod 1 (Calibrated),740,1.04,71,95961,22.01,21.95,36.0,35.95,3
6,MIF Pod 1 (Calibrated),740,1.04,71,95579,22.03,21.95,36.0,35.95,3
7,MIF Pod 1 (Calibrated),740,1.04,71,94134,22.08,21.95,36.0,35.95,3
8,MIF Pod 1 (Calibrated),778,1.11,75,94435,22.1,22.01,36.0,35.87,3
9,MIF Pod 1 (Calibrated),778,1.11,75,93454,22.11,22.01,36.0,35.87,3
10,MIF Pod 1 (Calibrated),778,1.11,75,94223,22.13,22.01,36.0,35.87,3
11,MIF Pod 1 (Calibrated),811,1.16,78,93593,22.15,22.06,36.0,35.84,3
12,MIF Pod 1 (Calibrated),811,1.16,78,90568,22.17,22.06,36.0,35.84,3
13,MIF Pod 1 (Calibrated),811,1.16,78,88377,22.19,22.06,36.0,35.84,3
14,MIF Pod 1 (Calibrated),920,1.37,88,89222,22.21,22.12,37.0,35.8,3
15,MIF Pod 1 (Calibrated),920,1.37,88,89698,22.22,22.12,37.0,35.8,3
16,MIF Pod 1 (Calibrated),962,1.46,92,89986,22.22,22.15,37.0,36.82,3
17,MIF Pod 1 (Calibrated),962,1.46,92,91256,22.23,22.15,37.0,36.82,3
18,MIF Pod 1 (Calibrated),962,1.46,92,91855,22.23,22.15,37.0,36.82,3
19,MIF Pod 1 (Calibrated),939,1.41,90,92870,22.22,22.15,37.0,36.89,3
20,MIF Pod 1 (Calibrated),939,1.41,90,93075,22.23,22.15,37.0,36.89,3
21,MIF Pod 1 (Calibrated),939,1.41,90,93385,22.24,22.15,37.0,36.89,3
22,MIF Pod 1 (Calibrated),929,1.39,89,92767,22.25,22.18,37.0,36.89,3
23,MIF Pod 1 (Calibrated),929,1.39,89,91754,22.26,22.18,37.0,36.89,3
24,MIF Pod 1 (Calibrated),929,1.39,89,91355,22.27,22.18,37.0,36.89,3
25,MIF Pod 1 (Calibrated),938,1.41,90,91554,22.27,22.2,37.0,36.91,3
26,MIF Pod 1 (Calibrated),938,1.41,90,92563,22.27,22.2,37.0,36.91,3
27,MIF Pod 1 (Calibrated),938,1.41,90,92258,22.3,22.2,37.0,36.91,3
28,MIF Pod 1 (Calibrated),924,1.38,88,92359,22.3,22.23,37.0,36.9,3
29,MIF Pod 1 (Calibrated),924,1.38,88,92870,22.3,22.23,37.0,36.9,3
30,MIF Pod 1 (Calibrated),924,1.38,88,93282,22.31,22.23,37.0,36.9,3
31,MIF Pod 1 (Calibrated),910,1.35,87,92870,22.31,22.24,37.0,36.94,3
32,MIF Pod 1 (Calibrated),910,1.35,87,93698,22.31,22.24,36.0,36.94,3
33,MIF Pod 1 (Calibrated),910,1.35,87,92767,22.31,22.24,36.0,36.94,3
34,MIF Pod 1 (Calibrated),888,1.31,85,93075,22.32,22.24,36.0,35.98,3
